sepal_length,sepal_width,petal_length,petal_width,species,score,predicted_label
5.1,3.5,1.4,0.2,setosa,"[0.9698342084884644, 0.030039047822356224, 0.0001267994084628299]",0
4.9,3,1.4,0.2,setosa,"[0.8265383243560791, 0.17306607961654663, 0.00039561904850415885]",0
4.7,3.2,1.3,0.2,setosa,"[0.949134349822998, 0.050727225840091705, 0.00013839671737514436]",0
4.6,3.1,1.5,0.2,setosa,"[0.928020179271698, 0.07178228348493576, 0.0001975037157535553]",0
5,3.6,1.4,0.2,setosa,"[0.9841151237487793, 0.015809526666998863, 7.534542237408459e-05]",0
5.4,3.9,1.7,0.4,setosa,"[0.9889418482780457, 0.010898946784436703, 0.00015914846153464168]",0
4.6,3.4,1.4,0.3,setosa,"[0.9812370538711548, 0.018671438097953796, 9.146344382315874e-05]",0
5,3.4,1.5,0.2,setosa,"[0.9590458869934082, 0.040791530162096024, 0.00016258470714092255]",0
4.4,2.9,1.4,0.2,setosa,"[0.8890030384063721, 0.11077398806810379, 0.00022303327568806708]",0
4.9,3.1,1.5,0.1,setosa,"[0.8809438347816467, 0.11880737543106079, 0.0002487956953700632]",0
5.4,3.7,1.5,0.2,setosa,"[0.9770171046257019, 0.022850966081023216, 0.00013193699123803526]",0
4.8,3.4,1.6,0.2,setosa,"[0.9704753756523132, 0.029399650171399117, 0.00012492168752942234]",0
4.8,3,1.4,0.1,setosa,"[0.8568791747093201, 0.142873153090477, 0.00024765057605691254]",0
4.3,3,1.1,0.1,setosa,"[0.9491680264472961, 0.050760094076395035, 7.187950541265309e-05]",0
5.8,4,1.2,0.2,setosa,"[0.9890589714050293, 0.010866396129131317, 7.459602056769654e-05]",0
5.7,4.4,1.5,0.4,setosa,"[0.9981757402420044, 0.0017821425572037697, 4.2163923353655264e-05]",0
5.4,3.9,1.3,0.4,setosa,"[0.9910475015640259, 0.008853092789649963, 9.934225818142295e-05]",0
5.1,3.5,1.4,0.3,setosa,"[0.9688482284545898, 0.030979495495557785, 0.00017229682998731732]",0
5.7,3.8,1.7,0.3,setosa,"[0.9701619744300842, 0.029547465965151787, 0.0002905816654674709]",0
